title,url,webentity_type,classifications_sitpol,classifications_ddc,specific_agents,specific_actor_type,descriptions@lang=fr,keywords@lang=fr,keywords@lang=en,creators@role=pbl,languages,publication_countries,rec_type_cerimes,target_audiences_cerimes,rec_created_use,notes@lang=fr
Institut national d'études démographiques,http://www.ined.fr,Page d'accueil,société:société ; administration publique:service public,300 ; 944,,university,"L'Institut national d'études démographiques (INED) a pour principal mandat l'étude de la conjoncture démographique nationale et internationale et de ses évolutions. Ses domaines de compétences couvrent donc à la fois l'étude des phénomènes démographiques proprement dits - nuptialité, fécondité, mortalité, migrations - , et la démographie appliquée à la vie sociale, l'économie, la santé publique, la géographie humaine, l'histoire...
",Population ; société ; famille ; données publiques ; recherche,population ; society ; family ; public data ; research,INED,fre,FR,10,10,DG,
Centre d'observation de la société,http://www.observationsociete.fr,Page d'accueil,société:société ; emploi:emploi ; numérique:données publiques,300 ; 944,,university,"Site de l'observatoire créé par Louis Maurin, dont l’objectif est d’alimenter un état des lieux, de dégager des tendances de fond, et de donner au plus grand nombre un ensemble d’outils (sources, définitions, etc.) pour mieux comprendre les mécanismes économiques et sociaux à l’oeuvre dans la société française. Actualités, tendances, définitions, sources, cartes, données.",Sciences sociales ; Politique sociale ; Société ; Données ; Outils ; France,Social policy ; Social sciences ; Society ; Data ; Tools ; France,Centre d'observation de la société,fre,FR,10,9,DG,
Fakir,http://www.fakirpresse.info,Page d'accueil,vie politique:campagne électorale ; administration publique:service public ; économie:finances publiques ; économie:mondialisation ; emploi:conditions de travail ; politique sociale:politique sociale ; société:société,300 ; 944,jean-luc mélenchon,media,"Basée à Amiens, l’association Fakir existe depuis 1999. Lié à aucun parti, aucun syndicat, aucune institution, son journal est entièrement rédigé et illustré par des bénévoles. D'un ton assez décalé et satirique, ce site défend une ligne de lutte citoyenne, basée sur des témoignage et des dossiers.",vie politique ; citoyen ; mouvement social ; élections ; France ,citizen ; social movement ; politics ; elections ; France,Fakir,fre,FR,13,11,DG,
Mémoire de luttes,http://www.medelu.org,Page d'accueil,vie politique:citoyenneté ; société:inégalité sociale ; relations internationales:relations internationales,300 ; 944,,association,"Mémoire des luttes est une association créée à l’initiative de Gunter Holzmann le 7 janvier 2000, et dont la mission est précisée dans le préambule des statuts : « Gunter Holzmann, engagé depuis toujours dans des luttes pour un monde plus libre, plus juste, plus égalitaire, plus fraternel et solidaire, entend agir, au-delà de lui-même,pour contribuer ces combats et maintenir vivante leur mémoire. A cette fin, il souhaite que soit créée une institution à but non lucratif à laquelle, pour la rendre pérenne, il fait un apport financier ». Association liée au Monde Diplomatique.",Relations internationales ; conflits ; mouvement social ; solidarité ; altermondialisme ,International relations ; conflicts ; social movement ; solidarity ; antiglobalism,Mémoire de lutte,fre,FR,10,11,DG,
Blog de Bernard Antony,http://bernard-antony.blogspot.com,Page d'accueil,vie politique:identité nationale ; société:laïcité et religion ; europe:europe ; éducation:éducation,300 ; 944,bernard antony,politician,"Blog de Bernard Antony, journaliste, essayiste et militant français, chefs de file de la sensibilité « traditionaliste », nationale et catholique.",Vie politique ; catholicisme traditionaliste ; identité nationale ; religion ; souverainisme ; France ,"Politics; traditionalist Catholicism; national identity; religion; sovereignism, France",Bernard Antony,fre,FR,13,11,DG,
Centre de sociologie des organisation - CSO,http://www.cso.edu,Page spécifique,société:société ; économie:entreprise ; administration publique:administration publique,301 ; 302.4 ; 944,,university,"A l’origine de l’école française de sociologie des organisations, le CSO est un laboratoire qui développe une réflexion originale sur les régulations privées et publiques, marchandes et non-marchandes à partir de recherches qui portent sur les organisations, les marchés et les groupes professionnels.",Sciences Po ; Sociologie ; Organisations ; Recherche,Sciences Po ; Sociology ; Organisations ; Research,CSO - CNRS - Sciences Po,fre ; eng,FR,12,10,DG,
Observatoire sociologique du changement - OSC,http://osc.sciences-po.fr,,société:société ; éducation:éducation ,301 ; 303.4 ; 944,,university,"Le centre étudie le changement social en utilisant la recherche empirique quantitative et qualitative, tant au niveau local que mondial.",Sciences po ; Sociologie ; Recherche,Sciences Po ; Sociology ; Research,OSC - CNRS - Sciences Po,fre ; eng,FR,12,10,DG,
Alsace d'abord,http://www.alsacedabord.org,Page d'accueil,vie politique:identité nationale ; société:immigration ; europe:europe,305 ; 940,,political_party,Parti politique régionaliste européen et identitaire en région Alsace,régionalisme ; Alsace ; identité nationale ; immigration ; europe,Regionalism ; Alsace ; National identity ; Immigration ; Europe,Alsace d'abord,fre,FR,13,11,DG,
Investig'Action - Michel Collon - L'info décodée,http://www.michelcollon.info,Page d'accueil,relations internationales:relations internationales ; économie:crise financière,320 ; 300,,blogger,Blog politique : analyse et spéculations,Vie politique ; Elections ; France ; partis politiques,Politics ; France ; Political parties ; Vote,"
Michel Collon",fre,FR,13,11,DG,
Dialogues en humanité,http://dialoguesenhumanite.org,Page d'accueil,environnement:environnement ; vie politique:citoyenneté ; éducation:éducation,320 ; 333,,association,"Lieu de réflexion sur la société actuelle. Pour un nouvel humanisme fondé sur les relations hommes/nature, le développement durable, la solidarité, la paix, les rencontres entre les cultures. Actualités, agenda, programmes, dialogues, ressources, ateliers du sensible.",Association ; Citoyen ; Philosophie politique ; Altermondialisme ; Homme-Nature ; Ecologisme ; Démocratie,Association ; Citizen ; political philosophy ; Globalisation ; Man-Nature ; Ecologism ; Democracy,Dialogues en humanité,fre,ZZ,10,11,DG,
LIEPP - Laboratoire interdisciplinaire d'évaluation des politiques publiques - Sciences Po,http://www.sciencespo.fr/liepp/,Page spécifique,économie:finances publiques ; politique sociale:politique sociale ; éducation:enseignement supérieur et recherche ; politique sociale:santé ; emploi:emploi ; justice:justice,320 ; 944,,university,"Le LIEPP (Laboratoire interdisciplinaire d'évaluation des politiques publiques) est un laboratoire d'excellence (Labex). Il a pour objectif d'étudier et d'évaluer des politiques publiques, dans une perspective résolument interdisciplinaire. Ce projet réunit plus de cinquante chercheurs et des professeurs de Sciences Po venant du Département d'économie, du Centre d'études européennes, du Centre de sociologie des organisations et de l'Observatoire sociologique du changement ainsi que des juristes et des historiens. Il associe également des chercheurs d'autres universités sur des projets d'évaluation et s'appuie sur les coopérations scientifiques à l'international des centres de recherche fondateurs. ",Politiques publiques ; Évaluation ; Recherche ; politique économique ; politique sociale ; Sciences Po ; France ; Union européenne,Public policy ; evaluation ; Research ; Sciences Po ; France ; European Union,,fre ; eng,FR,12,9,DG,
Telos,http://www.telos-eu.com,Page d'accueil,europe:europe ; économie:économie ; économie:mondialisation ; vie politique:vie politique ; politique sociale:politique sociale ; environnement:environnement,320 ; 944,,university,"Telos est une agence intellectuelle regroupant universitaires et professionnels, elle aspire à répercuter sans esprit partisan les grands débats mondiaux dans un espace français livré aux passions hexagonales",Think Tank ; Philosophie politique ; Economie ; Société ; Mondialisation ; Environnement ; France ; Europe,Think Tank ; Political philosophy ; Globalisation ; Economics ; Environment ; France ; Europe,Association Telos,fre,FR,10,9,ST,
BVA,www.bva.fr,Page d'accueil,"vie politique:campagne électorale
",320 ; 944,,polling_institute,"Institut d'études de marché et d'opinion, qui consacre de nombreux sondages à la présidentielle. ",Sondages ; Institut de sondage ; Opinion ; Vie politique ; France,Surveys ; Opinion polls ; Polling agency ; Political life ; France,BVA,fre,FR,10,10,GV,
Études politiques Figaro-Cevipof,http://www.cevipof.com/fr/pagesfigaro,Page spécifique,vie politique:vie politique,320 ; 944,,university,"Partenariat entre Le Figaro et le CEVIPOF qui renouent avec la tradition des Etudes politiques créées en 1987 par Philippe Habert. Contributions de Pascal Perrineau, Marc Lazar, Anne Muxel, etc.",Science politique ; Vie politique ; Recherche ; Médias ; Élections ; France,Political Science ; Politics ; Research ; Media; Elections ; France,CEVIPOF,fre,FR,13,10,DG,
Elyseetweet : tout ce que Twitter murmure sur François Hollande,http://presidentielle2012.labs.ebuzzing.fr/#sort/latest,Page spécifique,"vie politique:vie politique

",320 ; 944,,media,Actualité twitter sur François Hollande,vie politique ; élections,politics ; elections,Twitter,fre,FR,15,11,ZM,
Viavoice : mieux comprendre l'opinion pour agir,http://www.institut-viavoice.com/v13/,Page spécifique,vie politique:vie politique  ; vie politique:campagne électorale ; économie:économie ; économie:crise financière ; société:société ; emploi:conditions de travail  ,320 ; 944,,polling_institute,"Sondages, études, conseil. Études qualitatives, quantitatives et sondages dans les
 domaines de la politique, de la communication et des ressources humaines. Partenaires : ""Le Figaro"", ""Libération"", ""Les Echos"", ""France Inter"" et ""France Info"".",Sondages d'opinion ; Institut de sondage ; Vie politique ; France,Surveys ; Opinion polls ; Polling agency ; Political life ; France,Viavoice,fre,FR,10,10,DG,
Cevipof,http://www.cevipof.com,Page d'accueil,vie politique:vie politique ; société:société,320 ; 944,,university,"Créé en 1960, et associé au CNRS depuis 1968, le Centre de recherches politiques de Sciences Po (CEVIPOF) analyse les grands courants politiques qui façonnent les forces et les institutions politiques, ainsi que les facteurs qui contribuent à orienter les comportements et les attitudes politiques de nos concitoyens. Actualités ; rencontres; publications",Science politique ; Recherche ; Sciences Po ; Fondation nationale des sciences politiques ; France,Political Science ; Research ; Sciences Po ; France,Cevipof,fre,FR,12,10,DG,
Alicia Clashs,http://vostribunesalaune.blogspot.fr,Page spécifique,"vie politique:vie politique ; vie politique:campagne
électorale ; société:société",320 ; 944,marine le pen,activist,"Blog sur l'actualité politique, sur des thèmes de société, entre autres",société ; vie politique ; élections présidentielle ; France ,society ; politics ; elections ; France,,fre,FR,13,11,ZM,
Mouvement unitaire progressiste (MUP),http://www.mouvementunitaire.fr,Page d'accueil,vie politique:vie politique ; vie politique:campagne électorale ; économie:finances publiques,320 ; 944,Robert Hue,political_party,Mouvement initié par Robert Hue. Alliance avec le PS pour les élections 2012 ,Vie politique ; Elections ; France ,Politics ; Elections ; France,Mouvement unitaire progressiste (MUP),fre,FR,12,11,ZM,
Kremlin des blogs,http://www.kremlindesblogs.fr,Page d'accueil,vie politique:vie politique ; vie politique:campagne électorale ; société:société,320 ; 944,,blogger,"""Le site Kremlin des Blogs regroupe les billets des blogs des personnes participants régulièrement au Kremlin des Blogs, repris également sur le compte Twitter @KremlinDesBlogs et dans une page Facebook.Le but, à moyen terme, est de former une espèce de magazine""",vie politique ; élections société,Politics ; elections ; society,Kremlin des Blogs,fre,FR,11,11,ZM,
Le politovox,http://politivox.liberation.fr,Page spécifique,vie politique:campagne électorale,324 ; 004,,media,"L'Institut TrendyBuzz évalue en continu l'Unité de Visibilité sur Internet (UVI®) des personnalités politiques. Les chiffres sont consolidés à J+1 à 11h, prenant en compte l'ensemble des publications de la veille.",Vie politique ; Personnalités politiques ; Internet ; Élections ; Outils de visualisation ; France,Politics ; Elections ; 2012 ; Leading Figures ; Visualization Tool ; France,TrendyBuzz Institut ; Libération,fre,FR,10,10,DG,
Agoravox - le média citoyen,http://www.agoravox.fr,Page d'accueil,,324 ; 070,,media,"Média citoyen et participatif : actualités politiques, enquêtes participatives",Médias ; Vie politique ; Citoyen ; Participation ; France,Media ; News ; Politics ; Partcipation ; France,Fondation Agoravox,fre,FR,10,11,DG,
Riposte laïque : pour la défense de la laïcité et des principes de tolérance mutuelle,http://ripostelaique.com,Page d'accueil,vie politique:identité nationale ; vie politique:campagne électorale ; société:laïcité et religion ; société:immigration,324 ; 200 ; 944,,media,"Créé en 2007, en partie avec des personnes issues du journal en ligne Respublica. Selon le site, il s'agit de ""dénoncer la sous-estimation et l’absence de lucidité dramatiques (quand il ne s’agit pas de complicité) de beaucoup de militants associatifs ou politiques quant à la gravité de l’offensive de l’islam politique, en France et dans de nombreux pays d’Europe et du monde, relayée et encouragée par les autres religions qui y voient une occasion unique de retrouver place dans la Cité""",Vie politique ; Laïcité ; Islam; Immigration ; France ; Europe,Politics ; Secularism ; Religion ; Islam ; Immigration ; France ; Europe,Riposte laïque,fre,FR,10,11,DG,
Centre de données socio-politiques - CDSP Sciences Po,http://cdsp.sciences-po.fr,Page spécifique,numérique:données publiques ; société:société ; vie politique:vie politique,324 ; 320 ; 302,,university,"Le Centre permet l’accès à des données disponibles utiles à la recherche, en archivant des études et enquêtes majeures, et en créant de nouvelles études et de nouvelles bases de données.",Sciences Po ; Données politiques ; Données sociales ; Recherche ; Base de données ; Données publiques ; France,Sciences Po ; Political data ; Social data ; public data ; Data Base ; France ; Elections,CDSP - Sciences Po - CNRS,fre ; eng,FR,12,10,DG,
Terra Nova,http://www.tnova.fr,Page d'accueil,économie:crise financière ; économie:économie ; économie:finances publiques ; politique sociale:politique sociale ; environnement:environnement ; éducation:éducation ; société:société ; europe:europe ; relations internationales:relations internationales,324 ; 327,,think_tank,"Terra Nova est un think tank progressiste indépendant ayant pour but de produire et diffuser des solutions politiques innovantes, en France et en Europe.",Think Tank ; Philosophie politique ; Economie ; Société ; Social-démocratie France ; Europe,Think Tank ; Political philosophy ; Economics ; Culture ; Society ; Social-démocracy ; France ; Europe,Fondation Terra Nova,fre,FR,10,9,ST,
Mouvement Jeunes Communistes de France,http://www.jeunes-communistes.org,Page spécifique,société:jeunesse ; éducation:éducation ; économie:crise financière ; économie:finances publiques ; emploi:emploi ; vie politique:campagne électorale ; europe:europe,324 ; 327 ; 944,,political_party,Site du MJCF,Vie politique ;  Jeunesse ; Communistes ; France ; Europe ,Politics ; Youth ; France ; Europe,Mouvement Jeunes Communistes de France,fre,FR,12,11,ZM,
Refais le monde avant qu'il ne te refasse,http://sagephilippe.20minutes-blogs.fr,Page spécifique,vie politique:vie politique ; vie politique:campagne électorale ; emploi:emploi ; économie:crise financière,324 ; 327 ; 944,,activist,"Blog de Philippe Sage sur 20 Minutes.fr. ""L'actualité commentée avec subjectivité, dérision et mauvaise foi"". ",Actualités ; Vie politique ; France ; International,News ; Politics ; France ; World Politics,20 Minutes.fr,fre,FR,13,11,DG,
Corinne Lepage sur Twitter ,http://twitter.com/corinnelepage,Page spécifique,environnement:développement durable ; énergie:énergie ; énergie:nucléaire ; vie politique:campagne électorale,324 ; 333,corinne lepage,politician,"Page Twitter de Corinne Lepage. Députée européen, Présidente de CAP21",Vie politique ; Écologie politique ; Élections ; France,Poltics ; green movement ; Environment ; Elections ; France,Corinne Lepage,fre,FR,13,11,ZM,
José Bové sur Twitter,http://twitter.com/josebove,Page spécifique,environnement:environnement ; économie:économie ; relations internationales:relations internationales ; énergie:énergie,324 ; 333,josé bové,politician,"Page Twitter de José Bové
",Vie politique ; France ; Écologie politique,Politics ; France ; Green movement ; ,José Bové,fre,FR,13,11,ZM,
Noël Mamère,http://noelmamere.eelv.fr,Page spécifique,environnement:environnement; énergie:nucléaire ; économie:crise financière ;europe:europe ; vie politique:campagne électorale,324 ; 333,noël mamère,politician,"Site de Noël Mamère, député des EELV de la 3e circonscription de Gironde, maire de Bègles et ancien candidat écologique à l'élection présidentielle de 2002. ",Vie politique ; Écologie politique ; France,Politics ; Green movement ; France,Noël Mamère,fre,FR,13,11,ZM,
Mouvement Ecologiste Indépendant,http://www.m-e-i.fr,Page d'accueil,environnement:développement durable ; économie:mondialisation ; énergie:énergie,324 ; 333 ; 944,antoine waechter ,political_party,Mouvement Écologiste Indépendant,Vie politique ;  Écologie ; France ; Europe,Politics ; Environmental politics ; Green movement ; France ; Europe,Mouvement Ecologiste Indépendant,fre,FR,12,11,ZM,
ATTAC France - Association pour la taxation des transactions financières et pour l'action citoyenne,http://www.france.attac.org,Page spécifique,économie:crise financière ; environnement:environnement ; économie:finances publiques ; europe:europe,324 ; 337 ; 944,,association,"Fondée en 1998, Attac (Association pour la taxation des transactions financières et pour l’action citoyenne) promeut et mène des actions de tous ordres en vue de la reconquête, par les citoyens, du pouvoir que la sphère financière exerce sur tous les aspects de la vie politique, économique, sociale et culturelle dans l’ensemble du monde.",Vie politique ; Finances internationales ; Citoyen ; Association ; Taxes ; France,Politics ; Association ; Citizen ; Taxes ; International finance ; France,ATTAC France,fre,ZZ,10,11,DG,
Vie publique,http://www.vie-publique.fr,Page d'accueil,vie politique:vie politique ; vie politique:campagne électorale ; administration publique:administration publique ; administration publique:aménagement du territoire ; administration publique:urbanisme ; administration publique:administration locale ; culture et communication:culture et communication ; économie:économie ; économie:finances publiques ; emploi:emploi ; société:société ; éducation:éducation ; justice:justice ; environnement:environnement ; sécurité et défense:sécurité et défense ; europe:europe ; relations internationales:relations internationales ; ,324 ; 340 ; 350 ; 944,,institution,"Actualités institutionnelles et de politiques publiques. Ressources : rapports publics, discours publics, acteurs de la vie publique, débat public.",Vie politique ; Administration ; Droit ; Politiques publiques ; Documents officiels ; France,Politics ; Public policies ; Law ; Administration ; France,Direction de l'administration légale et administrative,fre,FR,10,11,DG,
Libertés surveillées,http://libertes.blog.lemonde.fr,Page spécifique,société:droits de l’homme ; justice:justice ; europe:europe,324 ; 351 ; 944,,journalist,"Blog de Franck Johannes, journaliste au Monde. Réflexions sur les droits et libertés fondamentales dans un monde où la sécurité prime.",Vie politique ; droits ; libertés ; sécurité ; France,Politics ; Security ; Liberty ; Civil Rights ; France,Franck Johannès ; Le Monde,fre,FR,13,11,DG,
Les Guignols de l'info,http://www.canalplus.fr/c-divertissement/pid1784-c-les-guignols.ht,Page spécifique,vie politique:campagne électorale ; société:société,324 ; 791,,media,Émission de caricature politique et sociale sur Canal Plus,Vie politique ; Vie sociale ; Caricatures ; Médias ; France,Politics ; Social issues ; Cartoon ; Media ; France,Canal Plus,fre,FR,10,11,DG,
Razzy Hammadi sur Twitter ,http://twitter.com/RHammadi,Page spécifique,"vie politique:campagne électorale ; politique sociale:logement ; emploi:emploi ; économie:finances publiques ; éducation:éducation
",324 ; 924,françois hollande ; razzy hammadi,politician,Page Twitter de Razzi Hammadi,Vie politique ; Services publics ; PS ; France,Politics ; Public Services ; Primary ; PS,Razzi Hammadi,fre,FR,10,11,DG,
Harlem Désir sur Twitter ,http://twitter.com/harlemdesir,Page spécifique,vie politique:vie politique ; politique sociale:politique sociale ; société:droits de l'homme ; économie:économie ; europe:europe ; société:laïcité et religion,324 ; 924,harlem désir ; françois hollande,politician,"Page Twitter d'Harlem Désir, 1er Secrétaire du PS  / Député européen",Vie politique ; Dirigeants ; PS ; France ; Union européenne,Politics ;leadership ; PS ; socialist party ; France ; European Union,Twitter,fre,FR,10,11,DG,
UMP sur Twitter,http://twitter.com/ump,Page spécifique,vie politique:vie politique  ; vie politique:campagne électorale ;,324 ; 924 ,nicolas sarkozy ; jean-françois copé,political_party,Page de l'UMP sur Twitter,Vie politique ; Partis politiques ; Droite ; France,Politics ; Political parties ; Right-wing ; France,Twitter,fre,FR,10,11,DG,
Mouvement européen (France),http://www.mouvement-europeen.eu,Page d'accueil,europe:europe,324 ; 940,,association,"Le Mouvement Européen-France (MEF) est une association qui regroupe, au delà de leur appartenance politique, les hommes, les femmes et les associations qui souhaitent s’engager en faveur de la construction européenne dans une perspective fédérale. Sa vocation est de « développer dans le peuple français la prise de conscience de l’Europe et de la communauté de destin des peuples qui la composent ».",Association ; Vie politique ; Union européenne ; France,Association ; Politics ; France ; European Union,Mouvement européen (France),fre,FR,10,11,DG,
Des mots grattent,http://desmotsgrattent.blogspot.com,Page d'accueil,politique sociale:santé ; politique sociale:logement ; société:jeunesse,324 ; 940,,activist,"Blog d'Isabelle Resplendino. Française résidant en Belgique - Secrétaire Nationale Adjointe et conseillère politique en charge de l'inclusion scolaire et des relations avec la Belgique au Collectif des Démocrates Handicapés. Adhérente au Modem, elle commente l'actuallité politique, notamment les problèmes de double nationalité et d'éducation.",Vie politique ; Centre ; Modem ; Identité nationale ; Education ; France ; Handicapés ; Enjeux ; Belgique,Politics ; Centre ; Modem ; National Identity ; Education ; Disabled ; France ; Issues ; Belgium,Isabelle Resplendino,fre,FR,13,11,DG,
Ipolitique,http://www.ipolitique.fr,Page d'accueil,vie politique:vie politique ; économie:économie ; europe:europe,324 ; 940,,journalist,"Blog personnel de Laurent de Boissieu, journaliste politique à la Croix. Contributeur aux annexes des chroniques électorales du Centre de recherches politiques de Sciences Po sur les élections européennes de 1999 et 2004 (Presses de Sciences Po) et 2009 (Revue internationale de Politique comparée).",vie politique ; campagne électorale ; élections ; politique économique ; Union européenne ;  France ,politics ; economic policy ; elections ; France ; European Union,Laurent de Boissieu,fre,FR,13,11,DG,
Jean-Luc Bennahmias,http://www.jeanlucbennahmias.eu,Page d'accueil,vie politique:vie politique ; environnement:environnement ; europe:europe,324 ; 940,jean-luc bennahmias,politician,"Site officiel de Jean-Luc Bennahmias, député européen du Modem. ",Vie politique ; Centre ; MODEM ; Politique sociale ; Politique de l'environnement ; France ; Union européenne,Politics ; Centre ; MODEM ; Environmental Policy ; Social Policy ; France ; European Union,Jean-Luc Bennahmias ; Modem,fre,FR,10,11,DG,
Alain Lamassoure,http://www.alainlamassoure.eu,Page d'accueil,vie politique:vie politique ; europe:europe ; économie:finances publiques ; sécurité et défense:sécurité et défense,324 ; 940,alain lamassoure,activist,"Député européen (UMP et groupe PPE), président de la Commission des budgets du Parlement européen, conseiller régional d'Aquitaine, Secrétaire général de la Convention démocrate.",vie politique ; finances publiques ; Union européenne ; élu ; UMP; Aquitaine,Politics ; Public finance ; European Union ; Elected ; UMP ; Aquitaine,Alain Lamassoure,fre,FR,13,11,DG,
Fondation Concorde,http://www.fondationconcorde.com,Page d'accueil, économie:économie ;  économie:crise financière ; environnement:environnement,324 ; 944,,think_tank,"La Fondation Concorde est un think tank  ; créée en 1997, elle regroupe des hommes et des femmes d’entreprises, des élus et des universitaires. Des experts de différents domaines s’y côtoient et tentent d’enrichir le débat politique en suggérant des propositions novatrices aux décideurs politiques. ",Think Tank ; Centre droit ; entreprises ; innovation ; Politiques publiques ; France ,Think Tank ;  corporations ; right-wing ; liberalism ; innovation ; France,Fondation Concorde,fre,FR,10,9,DG,
Blog de Christian Delom,http://www.christiandelom.fr,Page d'accueil, économie:entreprise ; europe:europe,324 ; 944,christian delom,politician,"Conseiller municipal de Clamart et président du groupe Modem-le parti de Clamart ; conseiller national du Mouvement Démocrate et membre du bureau de la fédération des Hauts-de-Seine ; Vice-président du Club JADE, le think tank Jeune, Démocrate et Européen. Il est actuellement directeur de la stratégie, de l’observation et des nouvelles technologies de ATOUT France, l’agence de développement touristique de la France.",Vie politique ; Modem ; élu ; innovation ; technologie de l'information ; tourisme ; Union européenne ; France ,Politics ; Modem ; innovation ; tourism ; European Union ; France,Christian Delom,fre,FR,13,11,DG,
Parti chrétien démocrate PCD,http://lepcd.fr,Page d'accueil, vie politique:vie politique ; politique sociale:politique sociale ; société:immigration ; société:laïcité et religion ; éducation:éducation ; société:bioéthique,324 ; 944,christine boutin,political_party,Site du PCD (Parti chrétien démocrate) créé par Christine Boutin,partis politiques ; Droite ; Démocratie chrétienne ; France ; Élections ; France,Politics ; France ; Elections ; Christian Democracy ; Centre Right,Christine Boutin,fre,FR,13,11,ZM,
François Lamy - Ministre chargé de la ville - Portail du gouvernement,http://www.gouvernement.fr/gouvernement/francois-lamy,Page d'accueil,administration publique:aménagement du territoire ; administration publique:urbanisme ; politique sociale:logement ; vie politique:campagne électorale ; relations internationales:relations internationales,324 ; 944,françois lamy ; martine aubry,politician,"Blog de François Lamy, Député-Maire de Palaiseau, Conseiller politique de Martine Aubry et Ministre délégué auprès de la ministre de l'Egalité des territoires et du Logement, chargé de la Ville",vie politique ; aménagement du territoire ; villes ,politics ; land planning ; town planning ; France,François Lamy,fre,FR,13,11,DG,
Jean-Michel Apathie,http://www.rtl.fr/blog/aphatie,Page d'accueil,culture et communication:culture et communication ; économie:crise financière ; vie politique:campagne électorale,324 ; 944,nicolas sarkozy,journalist,"Blog du journaliste Jean-Michel Apathie, chroniqueur au ""Grand Journal"" de Canal Plus et chef du service politique de RTL.",Médias ; journalisme ; vie politique ; élections ; France ,Media ; journalism ; politics ; France,Jean-Michel Apathie ; RTL,fre,FR,13,11,DG,
Je pense donc j'écris ,http://www.jepense-jecris.fr,Page d'accueil,culture et communication:culture et communication ; éducation:enseignement supérieur et recherche ; europe:europe ; justice:justice ; politique sociale:logement,324 ; 944,nicolas sarkozy ; françois hollande ,blogger,Rencontre sur la toile des pensées de Cyril Marcant sur l'actualité et la politique.,Sécurité ; banlieue ; identité nationale ; conditions de travail ; culture,Security ; national identity ; society,Cyril Marcant,fre,FR,13,11,OD,
Langue sauce piquante,http://correcteurs.blog.lemonde.fr,Page spécifique,culture et communication:culture et communication ; société:société,324 ; 944,,media,Blog des correcteurs du Monde.fr,Vie politique ; Discours politique ; Langue française ; Mots ; France,Politics ; Political speach ; France,Le Monde.fr,fre,FR,13,11,DG,
Citoyens prenez le pouvoir,http://www.cedric-augustin.eu,Page d'accueil,économie:crise financière ; économie:finances publiques ; environnement:développement durable ; société:immigration ; numérique:numérique ; société:laïcité et religion ; emploi:emploi ; vie politique:campagne électorale,324 ; 944,françois bayrou,blogger,"Blog politique et autres digressions de Cédric Augustin, Saint-Laurent-du-Var (Alpes-maritimes).",Vie politique ; Modem ; France ; société,politics ; society ; France,Cédric Augustin,fre,FR,13,11,DG,
Les 4 vérités,http://www.les4verites.com,Page d'accueil,économie:crise financière ; économie:finances publiques ; europe:europe ; sécurité et défense:sécurité et défense ; société:immigration ; société:laïcité et religion ; vie politique:identité nationale ; vie politique:campagne électorale,324 ; 944,nicolas sarkozy ; marine le pen ,media,Journal en ligne entre droite populaire et libéralisme néo-conservateur.,Vie politique ; politique économique ; libéralisme ; droite ; union européenne ; immigration ; islam ; genre ; France ; élection présidentielle ; 2012,News ; politics ; economics ; society ; immigration ; islam ; gender ; right wing ; France,Les 4 vérités,fre,FR,10,11,DG,
"Site d'Hervé Mariton : agir pour vous, agir pour tous",http://www.herve-mariton.net,Page d'accueil,économie:crise financière ; emploi:emploi ; environnement:développement durable ; vie politique:campagne électorale,324 ; 944,hervé mariton,politician,"Député de la Drôme et maire de Crest, ministre de l'Outre-mer dans le gouvernement Villepin (2007). 
",Vie politique ; élus ; élections législatives ; France ,politics ; politician ; France,Hervé Mariton,fre,FR,13,11,DG,
Carnet de Jean-Pierre Raffarin,http://www.carnetjpr.com,Page d'accueil,économie:crise financière ; environnement:développement durable ; europe:europe,324 ; 944,nicolas sarkozy ; jean-pierre raffarin,politician,"Blog de Jean-Pierre Raffarin, sénateur UMP de la Vienne, ancien Premier Ministre.",Vie politique ; Droite ; Elus ; UMP ; Elections ; France,Politics ; Right ; UMP  ; Elections ; France,Jean-Pierre Raffarin,fre,FR,13,11,ZM,
L'arène nue,http://l-arene-nue.blogspot.com,Page d'accueil,économie:crise financière ; europe:europe ; vie politique:campagne électorale ,324 ; 944,,blogger,"Blog de Coralie Delaume. Commente l'actualité politique, économique et sociale en France et dans le monde.",Vie politique ; Politique sociale ; Politique économique ; Société ; France,Politics ; Society ; Economic Policy ; France,Coralie Delaume,fre,FR,13,11,DG,
Blog gaulliste libre,http://www.gaullistelibre.com,Page d'accueil,économie:crise financière ; europe:europe ; vie politique:souveraineté,324 ; 944,dominique de villepin ; philippe seguin ; nicolas dupont-aignan ; jean-pierre chevènement,activist,"Blog de Laurent Pinsolle, ex militant villepiniste défendant aujourd'hui un gaullisme ""historique"" en faveur du protectionnisme et de la souveraineté nationale. Commentaire de l'actualité politique en France et en Europe.",Vie politique ; Droite ; Gaullisme ; Villepinisme ; Elections ; France,Politics ; Right ; Gaullism ; Villlepinism ; Elections ; France,Blog gaulliste libre,fre,FR,13,11,DG,
Le village des NRV,http://levillagedesnrv.20minutes-blogs.fr,Page spécifique,économie:crise financière ; société:inégalité sociale ; vie politique:campagne électorale,324 ; 944,,blogger,"Site satirique qui attaque autant la droite ""dure"" de Nicolas Sarkozy que la gauche ""molle"" du PS.",Vie politique ;  mondialisation ; France ; union européenne ; élections,politics ; humour ; globalisation ; France ; European Union,Le village des NRV,fre,FR,13,11,DG,
